school_name,hensachi,school_type,gender,gakka,location,prefecture,prefecture_ja
西城陽高校,47,府立,共学,スポーツ総合,城陽市,kyoto,京都府
東稜高校,47,府立,共学,普通,京都市伏見区,kyoto,京都府
綾部高校,46,府立,共学,普通,綾部市,kyoto,京都府
乙訓高校,46,府立,共学,普通,長岡京市,kyoto,京都府
京都府立工業高校,46,府立,共学,ロボット技術,福知山市,kyoto,京都府
京都府立工業高校,46,府立,共学,環境デザイン,福知山市,kyoto,京都府
京都府立工業高校,46,府立,共学,機械テクノロジー,福知山市,kyoto,京都府
京都府立工業高校,46,府立,共学,情報テクノロジー,福知山市,kyoto,京都府
京都府立工業高校,46,府立,共学,電気テクノロジー,福知山市,kyoto,京都府
向陽高校,46,府立,共学,普通,向日市,kyoto,京都府
丹後緑風高校網野学舎,46,府立,共学,企画経営,京丹後市,kyoto,京都府
丹後緑風高校網野学舎,46,府立,共学,普通,京丹後市,kyoto,京都府
南丹高校,46,府立,共学,総合,亀岡市,kyoto,京都府
洛東高校,46,府立,共学,普通,京都市山科区,kyoto,京都府
綾部高校,45,府立,共学,スポーツ総合,綾部市,kyoto,京都府
宮津天橋高校宮津学舎,45,府立,共学,建築,宮津市,kyoto,京都府
朱雀高校,45,府立,共学,普通,京都市中京区,kyoto,京都府
大江高校,45,府立,共学,地域創生,福知山市,kyoto,京都府
鳥羽高校,45,府立,共学,スポーツ総合,京都市南区,kyoto,京都府
田辺高校,45,府立,共学,普通,京田辺市,kyoto,京都府
峰山高校,45,府立,共学,機械創造,京丹後市,kyoto,京都府
園部高校,44,府立,共学,普通,南丹市,kyoto,京都府
海洋高校,44,府立,共学,海洋学科群,宮津市,kyoto,京都府
桂高校,44,府立,共学,園芸ビジネス,京都市西京区,kyoto,京都府
桂高校,44,府立,共学,植物クリエイト,京都市西京区,kyoto,京都府
城陽高校,44,府立,共学,普通,城陽市,kyoto,京都府
東舞鶴高校,44,府立,共学,普通,舞鶴市,kyoto,京都府
木津高校,44,府立,共学,情報企画,木津川市,kyoto,京都府
亀岡高校,43,府立,共学,美術・工芸,亀岡市,kyoto,京都府
宮津天橋高校加悦谷学舎,43,府立,共学,普通,与謝郡与謝野町,kyoto,京都府
田辺高校,43,府立,共学,電気技術,京田辺市,kyoto,京都府
田辺高校,43,府立,共学,自動車,京田辺市,kyoto,京都府
北桑田高校,43,府立,共学,普通,京都市右京区,kyoto,京都府
洛水高校,43,府立,共学,普通,京都市伏見区,kyoto,京都府
京都八幡高校北キャンパス,42,府立,共学,普通,八幡市,kyoto,京都府
丹後緑風高校久美浜学舎,42,府立,共学,アグリサイエンス,京丹後市,kyoto,京都府
田辺高校,42,府立,共学,機械技術,京田辺市,kyoto,京都府
田辺高校,42,府立,共学,工学探究,京田辺市,kyoto,京都府
農芸高校,42,府立,共学,農業学科群（農産バイオ科・環境緑地科）,南丹市,kyoto,京都府
木津高校,42,府立,共学,システム園芸,木津川市,kyoto,京都府
木津高校,42,府立,共学,普通,木津川市,kyoto,京都府
京都八幡高校南キャンパス,41,府立,共学,介護福祉,八幡市,kyoto,京都府
京都八幡高校南キャンパス,41,府立,共学,人間科学,八幡市,kyoto,京都府
須知高校,41,府立,共学,食品科学,船井郡京丹波町,kyoto,京都府
須知高校,41,府立,共学,普通,船井郡京丹波町,kyoto,京都府
丹後緑風高校久美浜学舎,40,府立,共学,みらいクリエイト,京丹後市,kyoto,京都府
北桑田高校,40,府立,共学,京都フォレスト,京都市右京区,kyoto,京都府
綾部高校由良川ＣＰ（東分校）,39,府立,共学,園芸,綾部市,kyoto,京都府
綾部高校由良川ＣＰ（東分校）,39,府立,共学,農業,綾部市,kyoto,京都府
綾部高校由良川ＣＰ（東分校）,39,府立,共学,農芸化学,綾部市,kyoto,京都府
峰山高校弥栄分校,38,府立,共学,家政,京丹後市,kyoto,京都府
峰山高校弥栄分校,38,府立,共学,農園芸,京丹後市,kyoto,京都府
北野高校,76,府立,共学,文理,大阪市淀川区,osaka,大阪府
天王寺高校,75,府立,共学,文理,大阪市阿倍野区,osaka,大阪府
茨木高校,73,府立,共学,文理,茨木市,osaka,大阪府
三国丘高校,73,府立,共学,文理,堺市堺区,osaka,大阪府
大手前高校,73,府立,共学,文理,大阪市中央区,osaka,大阪府
高津高校,72,府立,共学,文理,大阪市天王寺区,osaka,大阪府
四條畷高校,71,府立,共学,文理,四條畷市,osaka,大阪府
生野高校,71,府立,共学,文理,松原市,osaka,大阪府
豊中高校,71,府立,共学,文理,豊中市,osaka,大阪府
岸和田高校,70,府立,共学,文理,岸和田市,osaka,大阪府
春日丘高校,68,府立,共学,普通,茨木市,osaka,大阪府
千里高校,68,府立,共学,国際文化,吹田市,osaka,大阪府
千里高校,68,府立,共学,総合科学,吹田市,osaka,大阪府
泉陽高校,67,府立,共学,普通,堺市堺区,osaka,大阪府
住吉高校,66,府立,共学,国際文化,大阪市阿倍野区,osaka,大阪府
寝屋川高校,66,府立,共学,普通,寝屋川市,osaka,大阪府
箕面高校,66,府立,共学,グローバル,箕面市,osaka,大阪府
和泉高校,66,府立,共学,グローバル,岸和田市,osaka,大阪府
富田林高校,65,府立,共学,普通,富田林市,osaka,大阪府
住吉高校,64,府立,共学,総合科学,大阪市阿倍野区,osaka,大阪府
大阪公立大学工業高等専門学校,64,府立,共学,総合工学システム,寝屋川市,osaka,大阪府
池田高校,64,府立,共学,普通,池田市,osaka,大阪府
鳳高校,64,府立,共学,普通,堺市西区,osaka,大阪府
東高校,63,府立,共学,英語,大阪市都島区,osaka,大阪府
東高校,63,府立,共学,理数,大阪市都島区,osaka,大阪府
八尾高校,63,府立,共学,普通,八尾市,osaka,大阪府
和泉高校,63,府立,共学,普通,岸和田市,osaka,大阪府
今宮高校,62,府立,共学,総合,大阪市浪速区,osaka,大阪府
三島高校,62,府立,共学,普通,高槻市,osaka,大阪府
清水谷高校,62,府立,共学,普通,大阪市天王寺区,osaka,大阪府
いちりつ高校,62,府立,共学,理数,枚方市,osaka,大阪府
泉北高校,61,府立,共学,国際文化,堺市南区,osaka,大阪府
いちりつ高校,61,府立,共学,英語,枚方市,osaka,大阪府
北千里高校,61,府立,共学,普通,吹田市,osaka,大阪府
箕面高校,61,府立,共学,普通,箕面市,osaka,大阪府
佐野高校,60,府立,共学,国際文化,泉佐野市,osaka,大阪府
市岡高校,60,府立,共学,普通,大阪市港区,osaka,大阪府
泉北高校,60,府立,共学,総合科学,堺市南区,osaka,大阪府
東高校,60,府立,共学,普通,大阪市都島区,osaka,大阪府
槻の木高校,60,府立,共学,普通,高槻市,osaka,大阪府
東住吉高校,60,府立,共学,普通,大阪市平野区,osaka,大阪府
牧野高校,60,府立,共学,普通,枚方市,osaka,大阪府
夕陽丘高校,60,府立,共学,普通,大阪市天王寺区,osaka,大阪府
桜塚高校,59,府立,共学,普通,豊中市,osaka,大阪府
夕陽丘高校,59,府立,共学,音楽,大阪市天王寺区,osaka,大阪府
旭高校,58,府立,共学,国際文化,大阪市旭区,osaka,大阪府
佐野高校,58,府立,共学,普通,泉佐野市,osaka,大阪府
桜和高校,58,府立,共学,教育文理,大阪市北区,osaka,大阪府
山田高校,58,府立,共学,普通,吹田市,osaka,大阪府
いちりつ高校,58,府立,共学,普通,枚方市,osaka,大阪府
