area_code,total_pop,did_pop,area_name,did_ratio
07202,117376,84370,会津若松市,71.88
07203,327692,245463,郡山市,74.91
07204,332931,143992,いわき市,43.25
07205,59491,20631,白河市,34.68
07207,74992,33639,須賀川市,44.86
07208,44760,11112,喜多方市,24.83
07209,34865,7568,相馬市,21.71
07210,53557,9377,二本松市,17.51
07212,59005,21054,南相馬市,35.68
07213,58240,10888,伊達市,18.7
08201,270685,174150,水戸市,64.34
08202,174508,145634,日立市,83.45
08203,142074,84286,土浦市,59.33
08204,139344,58854,古河市,42.24
08205,73061,26454,石岡市,36.21
08207,50645,22246,結城市,43.93
08208,76420,50195,龍ケ崎市,65.68
08210,42521,5726,下妻市,13.47
08211,60834,11176,常総市,18.37
08212,48602,8402,常陸太田市,17.29
08214,27699,7321,高萩市,26.43
08216,73173,5138,笠間市,7.02
08217,104524,76946,取手市,73.62
08219,84651,69115,牛久市,81.65
08220,241656,92467,つくば市,38.26
08221,156581,104805,ひたちなか市,66.93
08222,66950,20551,鹿嶋市,30.7
08224,68421,50700,守谷市,74.1
08226,53502,8659,那珂市,16.18
08227,100753,14061,筑西市,13.96
08228,52265,8754,坂東市,16.75
08230,40087,15859,かすみがうら市,39.56
08232,95454,25866,神栖市,27.1
08235,49872,12778,つくばみらい市,25.62
08309,15715,10891,大洗町,69.3
08341,37891,16516,東海村,43.59
08443,48553,28024,阿見町,57.72
08546,24201,7512,境町,31.04
08564,15340,6365,利根町,41.49
09201,518757,403616,宇都宮市,77.8
09202,144746,91229,足利市,63.03
09203,155549,60411,栃木市,38.84
09204,116228,53645,佐野市,46.15
09205,94033,40233,鹿沼市,42.79
09206,77661,7045,日光市,9.07
09208,166666,101980,小山市,61.19
09209,78190,27154,真岡市,34.73
09210,72087,17526,大田原市,24.31
09211,31165,9948,矢板市,31.92
09213,115210,30859,那須塩原市,26.79
09216,59507,34770,下野市,58.43
09361,39474,20016,壬生町,50.71
09364,24913,14819,野木町,59.48
09386,29229,15858,高根沢町,54.25
10201,332149,197520,前橋市,59.47
10202,372973,201755,高崎市,54.09
10203,106445,67731,桐生市,63.63
10204,211850,106774,伊勢崎市,50.4
10205,223014,88753,太田市,39.8
10206,45337,17006,沼田市,37.51
10207,75309,39564,館林市,52.54
10208,74581,12198,渋川市,16.36
10209,63261,17152,藤岡市,27.11
10210,47446,9443,富岡市,19.9
10212,49648,9425,みどり市,18.98
10464,36054,5463,玉村町,15.15
10524,42089,36730,大泉町,87.27
11100,1324025,1243417,さいたま市,93.91
11101,93499,71080,さいたま市西区,76.02
11102,149242,149033,さいたま市北区,99.86
11103,117784,117490,さいたま市大宮区,99.75
11104,165049,152773,さいたま市見沼区,92.56
11105,103269,103269,さいたま市中央区,100.0
11106,98661,95598,さいたま市桜区,96.9
11107,164822,164780,さいたま市浦和区,99.97
11108,191563,191531,さいたま市南区,99.98
11109,128321,119495,さいたま市緑区,93.12
11110,111815,78368,さいたま市岩槻区,70.09
11201,354571,287009,川越市,80.95
11202,194415,109547,熊谷市,56.35
11203,594274,583102,川口市,98.12
11206,78617,47256,行田市,60.11
11207,59674,26257,秩父市,44.0
11208,342464,305336,所沢市,89.16
11209,80361,55074,飯能市,68.53
11210,111623,41347,加須市,37.04
11211,78569,45115,本庄市,57.42
11212,91791,45947,東松山市,50.06
11214,229792,202390,春日部市,88.08
11215,148699,127285,狭山市,85.6
11216,52862,19453,羽生市,36.8
11217,116828,88704,鴻巣市,75.93
11218,141268,67067,深谷市,47.48
11219,226940,207725,上尾市,91.53
11221,248304,246259,草加市,99.18
11222,341621,311178,越谷市,91.09
11223,74283,74283,蕨市,100.0
11224,140899,140878,戸田市,99.99
11225,145651,122530,入間市,84.13
11227,141083,138466,朝霞市,98.15
11228,75346,74945,志木市,99.47
11229,83989,83546,和光市,99.47
11230,166017,156505,新座市,94.27
11231,74748,62005,桶川市,82.95
11232,150582,98566,久喜市,65.46
11233,65201,52522,北本市,80.55
11234,93363,90626,八潮市,97.07
11235,111859,103613,富士見市,92.63
11237,142145,131467,三郷市,92.49
11238,61499,42386,蓮田市,68.92
11239,100275,67890,坂戸市,67.7
11240,50066,25861,幸手市,51.65
11241,70117,58503,鶴ヶ島市,83.44
11242,54571,24833,日高市,45.51
11243,71979,59702,吉川市,82.94
11245,113597,106463,ふじみ野市,93.72
11246,52214,37754,白岡市,72.31
11301,44841,37553,伊奈町,83.75
11324,38434,29891,三芳町,77.77
11326,35366,19040,毛呂山町,53.84
11341,19732,6752,滑川町,34.22
