area_code,daynight_ratio,area_name
13122,84.06504,葛飾区
13123,82.41313,江戸川区
13201,99.77957,八王子市
13202,114.18021,立川市
13203,108.69827,武蔵野市
13204,88.6512,三鷹市
13205,90.36548,青梅市
13206,94.39783,府中市
13207,90.95653,昭島市
13208,86.38048,調布市
13209,91.6699,町田市
13210,85.88174,小金井市
13211,87.77611,小平市
13212,87.81907,日野市
13213,79.95479,東村山市
13214,85.32939,国分寺市
13215,97.84264,国立市
13218,90.01456,福生市
13219,73.77537,狛江市
13220,80.40913,東大和市
13221,86.09746,清瀬市
13222,79.50391,東久留米市
13223,94.92482,武蔵村山市
13224,101.04003,多摩市
13225,78.48601,稲城市
13227,92.911,羽村市
13228,86.35274,あきる野市
13229,78.56279,西東京市
13303,109.93273,瑞穂町
13305,98.61859,日の出町
13307,94.56768,檜原村
13308,99.59878,奥多摩町
13361,101.44597,大島町
13362,123.44214,利島村
13363,102.0371,新島村
13364,102.48546,神津島村
13381,103.70669,三宅村
13382,128.65672,御蔵島村
13401,101.54998,八丈町
13402,126.40449,青ヶ島村
13421,103.93779,小笠原村
14100,91.71015,横浜市
14101,89.7924,横浜市鶴見区
14102,100.11633,横浜市神奈川区
14103,186.04616,横浜市西区
14104,161.19195,横浜市中区
14105,80.031,横浜市南区
14106,85.09438,横浜市保土ケ谷区
14107,83.22194,横浜市磯子区
14108,94.54974,横浜市金沢区
14109,93.52504,横浜市港北区
14110,87.24367,横浜市戸塚区
14111,79.9352,横浜市港南区
14112,80.01489,横浜市旭区
14113,81.28361,横浜市緑区
14114,83.64001,横浜市瀬谷区
14115,80.32839,横浜市栄区
14116,77.87437,横浜市泉区
14117,76.23025,横浜市青葉区
14118,94.76555,横浜市都筑区
14130,88.29145,川崎市
14131,118.68716,川崎市川崎区
14132,99.26472,川崎市幸区
14133,85.50271,川崎市中原区
14134,81.43823,川崎市高津区
14135,82.71557,川崎市多摩区
14136,73.41507,川崎市宮前区
14137,78.31395,川崎市麻生区
14150,88.26799,相模原市
14151,87.05274,相模原市緑区
14152,92.51986,相模原市中央区
14153,84.89036,相模原市南区
14201,91.17481,横須賀市
14203,99.48456,平塚市
14204,96.9564,鎌倉市
14205,93.23487,藤沢市
14206,98.17349,小田原市
14207,79.24654,茅ヶ崎市
14208,80.48411,逗子市
14210,84.34719,三浦市
14211,86.50241,秦野市
14212,115.58167,厚木市
14213,84.30719,大和市
14214,94.31211,伊勢原市
14215,94.69929,海老名市
14216,83.67447,座間市
14217,86.28135,南足柄市
14218,96.15439,綾瀬市
14301,74.9595,葉山町
14321,92.83211,寒川町
14341,79.13471,大磯町
14342,73.3385,二宮町
14361,123.83511,中井町
14362,85.4048,大井町
14363,94.99597,松田町
