school_name,hensachi,school_type,gender,gakka,location,prefecture,prefecture_ja,area_code,daynight_ratio
苫小牧総合経済高校,46,道立,共学,流通経済,苫小牧市,hokkaido,北海道,01213,100.23967
芦別高校,45,道立,共学,普通,芦別市,hokkaido,北海道,01216,97.92859
浦河高校,45,道立,共学,総合,浦河郡浦河町,hokkaido,北海道,,
遠軽高校,45,道立,共学,普通,紋別郡遠軽町,hokkaido,北海道,,
音更高校,45,道立,共学,普通,河東郡音更町,hokkaido,北海道,,
札幌あすかぜ高校,45,道立,共学,普通,札幌市手稲区,hokkaido,北海道,01109,85.06585
札幌琴似工業高校,45,道立,共学,環境化学,札幌市西区,hokkaido,北海道,01107,89.47785
札幌琴似工業高校,45,道立,共学,情報技術,札幌市西区,hokkaido,北海道,01107,89.47785
札幌琴似工業高校,45,道立,共学,電気,札幌市西区,hokkaido,北海道,01107,89.47785
札幌琴似工業高校,45,道立,共学,電子機械,札幌市西区,hokkaido,北海道,01107,89.47785
士別翔雲高校,45,道立,共学,総合ビジネス,士別市,hokkaido,北海道,01220,100.04017
枝幸高校,45,道立,共学,普通,枝幸郡枝幸町,hokkaido,北海道,,
小樽未来創造高校,45,道立,共学,機械電気システム,小樽市,hokkaido,北海道,01203,101.94301
小樽未来創造高校,45,道立,共学,建設システム,小樽市,hokkaido,北海道,01203,101.94301
小樽未来創造高校,45,道立,共学,情報会計マネジメント,小樽市,hokkaido,北海道,01203,101.94301
小樽未来創造高校,45,道立,共学,流通マネジメント,小樽市,hokkaido,北海道,01203,101.94301
石狩翔陽高校,45,道立,共学,総合,石狩市,hokkaido,北海道,01235,105.26325
登別青嶺高校,45,道立,共学,普通,登別市,hokkaido,北海道,01230,86.54912
浜頓別高校,45,道立,共学,普通,枝幸郡浜頓別町,hokkaido,北海道,,
北広島西高校,45,道立,共学,普通,北広島市,hokkaido,北海道,01234,98.3865
網走桂陽高校,45,道立,共学,事務情報,網走市,hokkaido,北海道,01211,101.8246
網走桂陽高校,45,道立,共学,商業,網走市,hokkaido,北海道,01211,101.8246
網走桂陽高校,45,道立,共学,普通,網走市,hokkaido,北海道,01211,101.8246
旭川農業高校,44,道立,共学,食品科学,旭川市,hokkaido,北海道,01204,100.62632
旭川農業高校,44,道立,共学,森林科学,旭川市,hokkaido,北海道,01204,100.62632
旭川農業高校,44,道立,共学,生活科学,旭川市,hokkaido,北海道,01204,100.62632
旭川農業高校,44,道立,共学,農業科学,旭川市,hokkaido,北海道,01204,100.62632
伊達開来高校,44,道立,共学,普通,伊達市,hokkaido,北海道,01233,95.30219
伊達開来高校,44,道立,共学,普通,伊達市,hokkaido,北海道,07213,89.03846
倶知安高校,44,道立,共学,普通,虻田郡倶知安町,hokkaido,北海道,,
釧路工業高校,44,道立,共学,建築,釧路市,hokkaido,北海道,01206,100.56712
釧路工業高校,44,道立,共学,工業化学,釧路市,hokkaido,北海道,01206,100.56712
釧路工業高校,44,道立,共学,電気,釧路市,hokkaido,北海道,01206,100.56712
釧路工業高校,44,道立,共学,電子機械,釧路市,hokkaido,北海道,01206,100.56712
釧路工業高校,44,道立,共学,土木,釧路市,hokkaido,北海道,01206,100.56712
釧路東高校,44,道立,共学,普通,釧路郡釧路町,hokkaido,北海道,,
恵庭南高校,44,道立,共学,普通,恵庭市,hokkaido,北海道,01231,94.57117
札幌南陵高校,44,道立,共学,普通,札幌市南区,hokkaido,北海道,01106,87.89999
七飯高校,44,道立,共学,普通,亀田郡七飯町,hokkaido,北海道,,
鷹栖高校,44,道立,共学,普通,上川郡鷹栖町,hokkaido,北海道,,
東川高校,44,道立,共学,普通,上川郡東川町,hokkaido,北海道,,
白糠高校,44,道立,共学,普通,白糠郡白糠町,hokkaido,北海道,,
白老東高校,44,道立,共学,普通,白老郡白老町,hokkaido,北海道,,
函館水産高校,44,道立,共学,機関工学,北斗市,hokkaido,北海道,01236,90.28454
函館水産高校,44,道立,共学,水産食品,北斗市,hokkaido,北海道,01236,90.28454
標茶高校,44,道立,共学,総合,川上郡標茶町,hokkaido,北海道,,
檜山北高校,44,道立,共学,総合,久遠郡せたな町,hokkaido,北海道,,
釧路商業高校,43,道立,共学,会計,釧路市,hokkaido,北海道,01206,100.56712
釧路商業高校,43,道立,共学,国際ビジネス,釧路市,hokkaido,北海道,01206,100.56712
釧路商業高校,43,道立,共学,情報処理,釧路市,hokkaido,北海道,01206,100.56712
釧路商業高校,43,道立,共学,流通経済,釧路市,hokkaido,北海道,01206,100.56712
恵庭南高校,43,道立,共学,体育,恵庭市,hokkaido,北海道,01231,94.57117
士別翔雲高校,43,道立,共学,普通,士別市,hokkaido,北海道,01220,100.04017
小樽水産高校,43,道立,共学,海洋漁業,小樽市,hokkaido,北海道,01203,101.94301
小樽水産高校,43,道立,共学,栽培漁業,小樽市,hokkaido,北海道,01203,101.94301
小樽水産高校,43,道立,共学,情報通信,小樽市,hokkaido,北海道,01203,101.94301
小樽水産高校,43,道立,共学,水産食品,小樽市,hokkaido,北海道,01203,101.94301
静内高校,43,道立,共学,普通,日高郡新ひだか町,hokkaido,北海道,,
大野農業高校,43,道立,共学,農業科学,北斗市,hokkaido,北海道,01236,90.28454
滝川工業高校,43,道立,共学,電気,滝川市,hokkaido,北海道,01225,97.77384
滝川工業高校,43,道立,共学,電子機械,滝川市,hokkaido,北海道,01225,97.77384
中標津高校,43,道立,共学,普通,標津郡中標津町,hokkaido,北海道,,
弟子屈高校,43,道立,共学,普通,川上郡弟子屈町,hokkaido,北海道,,
函館水産高校,43,道立,共学,海洋技術,北斗市,hokkaido,北海道,01236,90.28454
函館水産高校,43,道立,共学,品質管理流通,北斗市,hokkaido,北海道,01236,90.28454
八雲高校,43,道立,共学,普通,二海郡八雲町,hokkaido,北海道,,
美深高校,43,道立,共学,普通,中川郡美深町,hokkaido,北海道,,
標津高校,43,道立,共学,普通,標津郡標津町,hokkaido,北海道,,
別海高校,43,道立,共学,普通,野付郡別海町,hokkaido,北海道,,
紋別高校,43,道立,共学,普通,紋別市,hokkaido,北海道,01219,99.93942
